education,marital_status,income,kidhome,teenhome,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,complain,response,age,cust_since,acc_camp,total_spent,household_size,cluster
0,0,24480,1,0,46,4,19,9,28,25,17,3,3,0,4,7,0,0,33,16,0,102,2,0
1,0,51369,0,1,84,297,7,79,0,11,182,2,8,2,4,8,0,0,38,20,0,576,2,1
1,0,37760,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,68,21,0,317,1,0
2,0,65640,0,1,74,204,7,149,20,15,66,1,5,1,8,2,0,0,40,3,0,461,2,1
2,0,44319,1,1,18,26,0,8,0,0,3,2,2,0,3,5,0,0,39,2,0,37,3,3
1,0,30631,1,0,75,15,6,20,4,5,20,1,3,1,2,7,0,0,40,11,0,70,2,0
1,0,75278,0,0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,62,16,0,930,1,2
2,0,50898,1,1,88,285,28,242,55,114,135,13,6,2,12,5,0,0,58,17,0,859,3,1
1,1,79946,0,0,19,395,183,565,166,141,28,1,5,11,5,3,0,0,48,1,0,1478,2,2
2,1,35416,0,0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,65,12,0,390,2,1
0,0,32414,0,0,11,20,6,5,0,9,12,1,1,0,3,7,0,0,30,11,1,52,1,0
1,0,38361,1,0,74,39,0,56,20,8,14,3,3,1,3,7,0,0,45,6,0,137,2,0
1,0,82497,0,0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,34,19,1,1919,1,2
1,0,16626,2,0,76,8,3,22,21,1,13,3,3,0,3,9,0,0,43,5,0,68,3,0
1,0,29672,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,49,15,0,25,3,3
2,0,55951,0,1,62,1241,0,80,0,13,40,3,3,6,11,8,0,0,62,22,2,1374,2,1
0,1,35388,1,0,20,6,4,7,4,3,8,1,1,0,3,7,0,0,26,15,0,32,3,0
2,0,42386,1,0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,28,17,0,100,2,0
1,1,68627,0,0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,32,17,0,825,2,2
2,1,57912,0,1,34,801,0,80,0,0,35,5,8,3,12,5,0,0,49,3,1,916,3,1
1,1,35246,1,1,53,36,0,12,2,2,10,4,3,1,3,5,0,0,56,2,0,62,4,3
0,0,58821,0,1,44,513,14,154,19,0,28,1,9,2,9,6,0,0,58,8,0,728,2,1
2,0,46377,1,0,89,37,0,46,4,3,0,1,2,1,3,4,0,0,36,3,0,90,2,0
1,1,39747,1,0,43,80,15,93,20,13,52,3,5,1,4,8,0,0,26,2,0,273,3,0
1,0,23976,1,0,68,14,1,21,2,3,25,3,3,1,3,7,0,0,30,6,0,66,2,0
2,0,80950,0,0,44,525,147,112,219,147,63,1,6,7,9,2,0,0,53,15,1,1213,1,2
1,1,27038,0,0,64,1,26,25,17,23,15,1,3,0,3,9,0,1,48,21,0,107,2,0
1,1,77457,0,0,85,675,11,400,15,45,11,1,2,5,10,1,0,0,67,3,1,1157,2,2
2,0,64100,0,1,93,509,0,27,0,0,10,1,8,3,6,7,0,0,50,9,1,546,2,1
2,0,42670,0,0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,22,14,0,241,1,0
1,1,12571,1,0,86,3,5,14,2,12,17,4,3,1,3,6,0,0,38,5,0,53,3,0
1,0,22574,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,47,8,0,37,4,3
2,1,70893,0,0,42,768,44,561,77,44,14,1,6,6,10,3,0,0,38,16,0,1508,2,2
1,0,54198,1,1,13,185,0,28,3,2,17,6,3,1,6,4,0,0,48,6,0,235,3,3
2,0,28839,1,1,86,24,0,7,0,0,1,2,2,0,3,5,0,0,58,3,0,32,3,3
1,0,40321,1,1,59,44,4,21,6,0,27,2,3,0,3,7,0,0,42,11,0,102,3,3
1,1,66503,1,0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,29,22,0,401,3,0
1,0,30833,1,1,33,11,0,7,3,1,6,2,1,0,3,5,0,0,63,11,0,28,3,3
1,0,64795,0,1,23,412,5,119,38,29,77,3,3,3,12,2,0,0,43,17,0,680,2,1
1,0,34421,1,0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,40,11,0,30,2,0
2,1,47025,1,1,6,16,0,3,0,0,1,1,1,0,2,7,0,0,49,4,0,20,4,3
2,1,64325,0,1,41,731,60,353,78,12,73,5,10,3,5,7,0,0,53,16,0,1307,3,1
1,1,40464,0,1,78,424,17,118,7,23,41,6,8,2,8,8,0,0,61,17,0,630,3,1
1,0,62187,0,0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,57,11,0,1283,1,2
2,1,14849,1,0,39,21,2,28,3,2,9,3,2,0,4,8,0,0,38,11,0,65,3,0
1,0,27255,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,30,7,0,37,2,0
2,0,54432,2,1,37,33,0,5,0,0,0,1,1,0,3,4,0,0,64,13,0,38,4,3
2,1,29999,1,0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,28,16,0,160,3,0
1,1,24072,1,0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,31,14,0,23,3,0
2,1,33996,0,0,46,40,2,15,8,0,6,1,1,1,3,4,0,0,25,9,0,71,2,0
2,0,66334,0,1,82,909,11,218,0,0,23,2,9,3,5,5,0,1,58,14,0,1161,2,1
2,0,35178,1,0,10,23,1,13,2,2,18,1,1,1,2,7,0,1,43,17,1,59,2,0
1,0,22010,1,0,51,11,2,9,3,0,8,2,2,0,3,8,0,0,31,11,0,33,2,0
1,1,62204,0,2,38,317,46,247,151,46,139,1,4,5,12,3,0,0,54,21,0,946,4,1
1,1,75693,0,0,10,797,153,293,72,97,30,1,11,4,6,4,0,1,46,18,3,1442,2,5
1,0,30675,1,0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,42,19,0,62,2,0
1,0,83003,0,0,18,856,61,570,40,25,122,1,7,6,8,3,0,1,49,15,1,1674,1,5
1,1,68655,0,0,95,456,19,832,75,118,38,1,4,5,11,3,0,0,26,22,0,1538,2,2
1,1,41411,0,0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,28,6,0,139,2,0
2,0,55212,0,1,65,1103,0,45,0,0,34,3,4,2,11,8,0,0,45,19,2,1182,2,1
2,0,59292,0,1,71,378,14,68,19,14,14,2,3,5,8,3,0,0,64,12,0,507,2,1
0,0,27190,1,0,13,1,6,7,0,1,3,1,1,0,2,8,0,1,41,10,1,18,2,0
1,1,82623,0,0,58,204,34,204,172,153,173,1,2,9,4,1,0,0,62,7,0,940,2,2
1,0,44300,1,1,65,30,0,9,0,0,3,2,1,0,3,6,0,0,49,12,0,42,3,3
1,1,84835,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,1,44,0,0,1190,2,2
1,1,30372,1,1,33,15,0,12,7,3,7,3,2,0,3,7,0,0,43,18,0,44,4,3
2,0,33181,1,0,90,9,0,3,0,0,4,1,1,0,2,6,0,0,38,5,1,16,2,0
1,0,71113,0,1,95,495,33,255,11,33,8,4,6,7,9,4,0,0,57,6,0,835,2,1
1,0,71952,1,0,93,656,80,455,52,107,93,2,8,4,8,4,0,0,28,17,2,1443,2,5
2,1,69759,0,0,38,452,20,514,13,30,0,3,4,6,5,3,0,1,48,8,0,1029,2,2
1,0,72099,0,0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,40,20,0,1188,1,2
2,1,60000,0,1,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,38,18,0,1277,3,1
1,1,38643,1,1,45,22,2,14,0,1,10,2,2,0,3,7,1,0,36,6,0,49,4,4
1,0,50737,0,1,61,78,0,11,0,0,10,1,2,0,4,6,0,0,59,13,1,99,2,3
2,0,68462,0,0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,45,18,0,1670,1,2
2,0,65073,0,0,65,629,17,177,69,0,8,1,5,3,5,2,1,0,71,10,0,900,1,4
2,0,46681,0,2,52,269,15,69,15,19,38,2,4,6,4,5,0,0,66,8,0,425,3,3
1,0,78618,0,0,87,736,163,818,212,163,61,1,4,7,10,2,0,0,57,20,1,2153,1,2
2,1,62187,0,1,38,512,0,83,0,0,41,3,6,2,10,4,0,0,45,3,0,636,3,1
1,0,28442,2,0,53,19,3,10,11,8,6,3,2,1,4,4,0,0,36,4,0,57,3,0
2,0,37717,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,36,19,0,25,2,0
1,0,51479,1,1,67,247,8,160,6,8,65,7,6,3,6,7,0,0,47,18,0,494,3,1
1,1,54803,0,1,65,404,0,92,28,27,142,2,6,2,9,4,0,0,45,22,0,693,3,1
1,0,79530,0,0,64,333,0,815,129,42,29,1,4,10,11,2,0,0,54,13,0,1348,1,2
1,1,31615,1,0,82,2,3,20,6,11,9,2,2,0,3,7,0,0,38,15,0,51,3,0
1,0,72025,0,0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,52,19,0,1932,1,2
2,1,52614,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,39,18,0,990,3,1
0,0,35684,1,0,66,10,4,7,0,6,3,1,1,0,3,6,0,0,30,2,0,30,2,0
1,0,48178,1,1,69,159,4,45,6,2,38,6,5,1,4,8,0,0,39,20,0,254,3,3
2,1,29548,1,0,52,7,1,6,3,1,11,1,1,1,2,4,0,0,44,9,1,29,3,0
1,1,63810,0,1,45,977,12,253,16,12,101,4,4,3,12,8,0,0,48,19,1,1371,3,1
2,1,38578,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,1,42,12,0,73,4,3
2,1,46098,1,1,86,57,0,27,0,0,36,4,3,2,2,8,0,0,39,22,0,120,4,3
1,1,22585,0,0,23,3,9,15,13,2,39,1,1,1,2,9,0,1,44,15,1,81,2,0
1,1,30279,1,0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,25,17,0,37,3,0
2,0,66426,0,1,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,53,8,0,1377,2,1
1,1,30822,1,0,92,3,9,13,2,12,12,1,1,0,3,7,0,0,45,12,0,51,3,0
2,0,33581,2,0,38,11,0,5,0,0,1,1,1,0,2,8,0,0,45,17,0,17,3,0
1,0,19986,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,29,7,0,22,2,0
1,1,27421,0,0,14,43,12,96,78,40,55,3,4,1,6,7,0,0,60,18,0,324,2,0
0,0,35688,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,41,22,0,211,4,3
2,1,36143,1,0,33,12,0,1,0,0,6,1,0,1,2,3,0,0,33,2,0,19,3,0
1,1,10245,1,0,32,4,7,7,6,4,13,3,1,2,2,5,0,0,43,13,0,41,3,0
2,0,43795,0,1,11,314,11,53,4,3,107,3,7,3,4,7,0,1,46,8,1,492,2,1
1,0,63381,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,54,20,0,1005,2,1
1,0,38823,0,1,56,70,0,11,2,8,23,1,2,1,3,6,0,0,65,21,0,114,2,3
2,1,83664,1,1,57,866,21,151,28,21,86,3,2,2,12,5,0,0,46,13,0,1173,4,1
1,0,90300,0,0,7,594,134,786,33,134,57,0,5,6,8,1,0,0,35,5,1,1738,1,2
2,0,62499,1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,35,6,0,222,2,0
1,1,74293,0,0,66,375,152,335,93,91,81,1,5,4,6,2,0,0,21,1,0,1127,2,2
2,0,51012,0,0,86,102,9,63,2,9,24,1,4,1,4,6,0,0,68,14,0,209,1,0
2,0,70777,0,1,80,554,35,113,0,7,78,3,5,3,12,3,0,0,46,4,0,787,2,1
2,0,68682,0,0,56,919,0,505,99,30,45,1,4,9,10,2,0,0,23,8,0,1598,1,2
1,0,43824,1,1,18,96,1,42,12,3,32,4,3,1,4,8,0,0,43,21,0,186,3,3
1,0,15345,1,0,51,5,2,16,3,2,19,2,1,1,2,8,0,1,30,21,0,47,2,0
1,1,23442,1,0,71,2,0,6,8,6,5,1,1,0,3,7,0,0,27,18,0,27,3,0
0,0,14515,1,0,71,6,4,9,6,36,35,4,2,2,3,7,0,1,34,19,0,96,2,0
0,1,31395,1,1,80,23,1,25,0,8,7,4,2,1,3,6,0,0,58,15,0,64,4,3
1,0,75276,0,0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,49,21,0,1040,1,2
1,1,42373,1,1,83,67,5,61,3,8,19,5,2,1,5,5,0,0,40,10,0,163,4,3
1,0,30507,0,0,29,65,36,74,38,20,110,1,5,1,4,7,0,0,54,15,0,343,1,0
2,1,55521,1,2,11,416,0,26,0,0,4,9,6,3,6,7,0,1,59,8,1,446,5,3
1,0,48006,1,1,55,23,0,11,3,2,2,1,1,0,3,6,0,0,49,0,0,41,3,3
2,1,27213,1,0,19,19,3,26,10,9,3,3,2,0,4,8,0,1,42,21,0,70,3,0
2,1,65808,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,43,0,0,272,4,3
2,0,30351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,40,12,0,46,2,0
1,0,50437,0,2,28,370,9,92,6,9,4,3,7,1,8,7,0,0,51,20,0,490,3,1
0,1,23616,1,0,76,4,22,11,3,7,32,2,3,0,3,8,0,1,32,19,0,79,3,0
1,0,53858,0,1,50,407,53,221,58,150,26,4,4,3,6,4,0,0,38,19,0,915,2,1
2,0,66465,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,59,14,1,1485,2,1
1,1,46923,1,0,90,85,44,54,102,78,6,3,5,1,7,7,0,0,27,22,0,369,3,0
1,0,75072,0,1,83,583,34,309,0,22,125,2,5,4,8,3,0,0,52,17,0,1073,2,1
2,0,75865,0,0,73,483,0,591,156,0,12,1,3,5,10,1,0,0,71,2,0,1242,1,2
0,0,19789,1,0,24,2,5,9,28,6,28,3,2,1,3,5,0,0,39,7,1,78,2,0
1,0,80134,0,0,11,966,26,282,52,26,26,1,2,7,11,5,0,0,20,4,4,1378,1,5
1,1,91065,0,0,33,822,114,108,179,137,114,1,7,9,9,3,0,1,33,16,2,1474,2,5
2,0,49505,1,1,4,604,0,100,19,0,28,9,10,2,8,8,0,0,43,15,0,751,3,1
2,0,37401,1,0,14,19,3,19,3,1,3,2,2,0,3,7,0,0,41,1,0,48,2,0
1,0,30096,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,31,1,0,45,2,0
2,0,18492,1,0,75,2,2,2,2,1,1,1,1,0,2,8,0,0,32,0,0,10,2,0
2,0,82584,0,0,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,40,12,2,1435,1,5
2,0,93027,0,0,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,73,14,1,2119,1,5
1,0,48686,1,2,8,10,0,7,2,0,1,1,1,0,2,8,0,0,61,6,0,20,4,3
1,0,92910,0,0,42,551,137,792,179,103,33,1,6,7,13,1,0,0,28,2,3,1795,1,5
1,0,75433,1,0,28,800,0,297,0,34,57,2,2,5,10,6,0,0,25,2,2,1188,2,5
0,0,10404,1,0,52,2,2,11,10,6,12,2,1,0,4,5,0,0,25,1,0,43,2,0
1,0,61314,0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,0,46,14,0,1008,2,2
2,1,84865,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,53,13,4,1688,2,5
1,0,42387,1,0,42,235,0,235,19,4,191,5,8,1,7,8,0,0,25,19,0,684,2,1
0,0,67309,1,1,76,515,47,181,149,95,95,15,9,6,9,7,0,0,47,17,0,1082,3,1
1,0,75236,0,1,27,438,66,400,12,38,114,1,8,3,13,4,0,0,50,7,0,1068,2,1
1,1,30015,1,0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,44,4,0,57,3,0
2,0,50943,0,1,49,31,0,7,2,0,6,1,1,0,3,5,0,0,58,12,0,46,2,3
1,1,67272,0,1,12,357,35,271,28,28,14,3,6,2,12,5,0,0,48,6,0,733,3,1
2,1,51529,0,1,14,400,4,35,6,0,22,2,9,1,5,8,0,0,65,9,0,467,3,1
2,0,32011,1,0,89,99,0,15,2,1,5,3,2,1,4,7,0,0,43,10,0,122,2,0
0,0,7500,1,0,96,1,11,5,4,6,9,2,2,0,3,8,0,0,28,16,0,36,2,0
1,0,28691,1,0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,25,11,0,34,2,0
2,0,56223,0,1,72,77,28,31,16,0,4,2,2,1,5,4,0,0,66,6,0,156,2,3
1,0,18100,0,0,14,3,1,2,4,3,1,1,0,0,3,5,0,0,68,10,0,14,1,0
1,1,30279,1,0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,25,17,0,37,3,0
0,0,20130,0,0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,40,3,0,34,1,0
1,1,23295,0,0,72,0,0,1,2,12,5,1,1,0,2,8,0,0,55,11,0,20,2,0
2,1,42618,1,0,92,76,14,74,13,5,10,2,5,0,4,8,0,0,42,8,0,192,3,0
1,1,81246,0,0,87,398,190,537,61,156,37,1,4,5,7,1,0,0,50,5,2,1379,2,2
1,0,24027,1,0,7,14,7,11,11,0,5,2,2,0,3,8,0,0,38,12,0,48,2,0
2,0,55707,0,1,91,208,7,82,30,66,35,2,3,2,9,3,0,0,61,6,0,428,2,1
1,1,57959,0,1,71,430,16,322,43,24,33,5,4,7,11,3,0,0,59,13,0,868,3,1
1,0,56796,0,1,24,656,38,161,62,47,37,3,8,9,7,7,0,0,45,16,0,1001,2,1
2,1,36230,1,0,17,14,2,30,8,2,3,1,2,0,4,5,0,0,43,8,0,59,3,0
0,0,70829,1,1,87,141,70,106,72,19,23,2,4,2,8,3,0,0,34,6,0,431,3,3
1,0,65991,0,1,21,507,19,364,25,47,9,3,9,5,10,7,0,0,38,21,0,971,2,1
1,0,38988,1,2,90,164,24,103,12,3,42,7,5,1,6,8,0,0,42,22,0,348,4,3
0,1,89572,0,0,44,606,24,974,197,194,64,1,7,7,9,4,0,1,48,21,2,2059,2,5
2,0,42207,1,0,71,116,11,72,3,17,46,4,4,1,5,6,0,1,30,14,1,265,2,0
1,0,50300,0,1,52,143,15,60,24,23,5,2,2,1,8,2,0,0,62,1,0,270,2,3
0,0,66664,0,0,78,398,96,447,220,96,32,1,5,7,6,3,0,0,32,21,0,1289,1,2
1,0,60597,0,1,2,522,0,257,32,16,66,4,2,2,8,7,0,1,50,5,1,893,2,1
1,1,70165,0,0,60,161,0,253,199,191,122,1,3,7,11,1,0,0,65,9,0,926,2,2
2,1,50520,0,1,25,112,0,6,2,1,14,2,3,1,3,6,0,0,56,4,0,135,3,3
1,0,80124,0,0,47,483,84,398,205,84,241,1,3,7,8,1,0,0,51,0,1,1495,1,2
1,0,33183,1,0,46,7,5,39,17,15,37,2,4,0,3,7,0,0,39,4,0,120,2,0
2,1,66582,0,0,83,789,25,420,16,38,0,1,2,8,9,1,0,0,45,3,0,1288,2,2
2,0,75261,0,0,17,1239,17,413,23,34,17,1,5,6,5,2,0,1,59,14,2,1743,1,5
1,1,31880,1,0,13,4,1,5,2,0,3,1,1,0,2,8,0,0,44,19,0,15,3,0
1,0,53790,0,2,86,335,42,127,28,5,5,3,7,2,8,6,0,0,63,3,0,542,3,1
2,0,49269,1,0,92,639,8,166,11,8,58,3,7,3,12,7,0,0,43,22,0,890,2,1
1,0,61456,0,1,47,563,76,384,84,192,89,4,6,10,13,4,0,0,39,15,0,1388,2,2
1,0,37406,1,0,18,2,0,8,2,2,3,1,1,0,2,8,0,1,34,8,0,17,2,0
2,0,56937,1,0,81,746,8,125,11,8,8,7,8,6,9,6,0,1,33,22,1,906,2,1
1,0,38415,1,1,91,22,1,13,4,0,4,2,1,0,3,7,0,0,36,17,0,44,3,3
1,1,20518,1,0,58,4,1,6,4,1,9,1,1,1,2,5,0,0,26,1,0,25,3,0
1,0,62503,0,1,40,478,0,193,110,75,117,4,8,3,11,5,0,0,58,16,0,973,2,1
2,1,41644,1,1,67,20,3,4,2,0,2,2,1,0,3,3,0,0,42,1,0,31,4,3
2,0,55842,0,1,19,451,0,39,0,4,24,1,7,1,8,5,0,0,37,1,0,518,2,1
2,0,62010,0,1,93,371,22,39,6,0,92,4,6,2,7,5,0,0,42,20,0,530,2,1
1,0,41124,1,0,41,281,7,84,15,0,119,7,7,3,4,8,0,0,37,19,0,506,2,1
2,0,38961,1,0,60,19,7,19,0,1,24,1,2,1,2,7,0,0,41,5,0,70,2,0
2,1,37760,1,0,54,26,3,13,2,10,0,1,2,0,3,6,0,0,42,10,0,54,3,0
1,1,32233,1,0,26,138,15,35,25,11,72,2,6,2,2,9,0,1,40,22,1,296,3,0
1,0,43057,0,1,30,213,2,44,0,2,5,4,4,2,5,5,0,0,39,7,0,266,2,3
2,0,83151,0,0,93,407,28,100,120,74,18,1,5,9,4,3,0,0,54,20,0,747,1,2
2,1,78825,0,0,35,483,74,114,169,37,18,1,5,10,13,3,0,1,50,21,0,895,2,2
2,0,65104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,38,7,0,1053,2,1
1,0,60093,0,1,92,502,12,109,16,6,90,2,7,2,10,6,0,0,40,12,0,735,2,1
1,0,14045,1,0,24,11,0,5,2,1,1,1,1,0,3,7,0,0,45,5,0,20,2,0
0,1,28457,0,0,96,24,1,108,29,29,14,1,4,1,4,8,0,0,62,20,0,205,2,0
2,0,78952,0,1,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,56,21,0,2092,2,2
1,1,46310,1,0,99,185,2,88,15,5,14,2,6,1,5,8,0,0,38,18,0,309,3,0
1,0,76005,0,0,72,983,20,389,240,50,40,1,3,5,13,6,0,0,59,16,1,1722,1,2
2,1,58308,0,1,77,691,0,69,10,0,130,4,2,6,3,8,0,0,50,17,0,900,3,1
2,1,55614,0,0,85,504,13,131,8,0,26,1,9,4,6,7,0,0,70,7,1,682,2,1
2,1,59432,0,1,88,317,25,265,25,19,12,3,5,3,11,5,0,0,52,14,0,663,3,1
1,1,55563,0,1,22,29,1,9,2,0,2,1,2,0,3,3,0,0,36,2,0,43,3,3
2,0,78642,0,1,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,43,14,0,1816,2,1
2,0,67911,0,1,63,529,0,356,63,28,0,3,6,7,11,3,0,0,65,1,0,976,2,1
1,0,65275,0,0,9,388,14,218,91,14,21,1,4,3,13,2,0,0,70,14,0,746,1,2
1,0,27203,1,1,92,13,2,21,4,0,24,2,1,1,2,8,0,0,64,22,0,64,3,3
2,0,48330,0,1,2,28,0,4,0,0,0,1,1,0,3,5,0,0,53,7,0,32,2,3
0,0,24279,0,0,6,16,36,21,20,62,108,1,4,1,3,8,0,0,24,17,0,263,1,0
2,0,64355,1,0,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,29,22,0,1445,2,1
2,0,50943,0,1,49,31,0,7,2,0,6,1,1,0,3,5,0,0,58,12,0,46,2,3
1,1,53653,0,0,29,815,10,239,28,10,108,2,10,4,12,6,0,0,61,19,0,1210,2,1
1,0,65665,0,1,77,225,162,387,106,36,29,1,5,10,8,3,0,0,38,6,0,945,2,2
1,1,81217,0,0,77,493,70,324,146,40,84,1,3,7,11,1,0,0,25,11,0,1157,2,2
1,0,34935,0,0,71,34,4,66,3,10,20,1,2,1,4,7,0,0,22,12,0,137,1,0
1,1,61250,0,1,49,382,138,65,60,26,59,6,5,2,12,5,0,0,55,18,0,730,3,1
2,0,39665,1,0,97,127,1,56,0,1,31,3,4,2,3,7,0,0,33,13,1,216,2,0
1,1,60152,0,1,6,325,83,300,86,58,91,1,6,4,12,3,0,0,35,15,0,943,3,2
1,0,48920,0,2,93,238,17,68,8,10,6,3,6,2,5,7,0,0,50,8,1,347,3,3
2,0,89120,0,0,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,55,3,1,1924,1,2
2,0,44124,0,1,62,284,0,55,0,6,52,4,6,2,5,8,0,0,68,13,0,397,2,1
2,1,81169,0,0,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,39,14,0,2089,2,2
1,0,36443,1,1,9,65,0,46,4,3,20,4,3,1,3,8,0,0,53,16,0,138,3,3
1,1,26095,1,0,77,11,7,9,3,1,11,1,1,0,3,7,0,0,24,11,0,42,3,0
1,0,71367,0,0,24,227,23,389,42,21,75,1,4,5,7,2,0,0,55,10,0,777,1,2
2,0,80184,0,0,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,70,3,2,1902,1,5
1,1,30630,1,1,67,27,1,12,2,0,10,2,2,0,3,7,0,0,49,5,0,52,4,3
2,1,73454,0,0,95,982,73,351,56,14,175,1,2,4,6,5,0,0,27,3,1,1651,2,2
1,0,42691,0,0,48,179,2,64,38,17,58,1,5,1,6,5,0,0,23,10,0,358,1,0
1,0,70503,0,0,73,1379,33,216,0,33,66,1,2,4,9,6,0,0,61,20,2,1727,1,5
1,0,25545,1,0,35,32,1,64,16,12,85,3,2,2,3,6,0,1,27,21,0,210,2,0
1,0,32880,1,0,76,8,4,15,7,6,2,1,1,0,3,8,0,0,28,18,0,42,2,0
2,0,77863,0,0,20,881,38,319,16,25,12,1,4,5,10,2,0,0,56,7,0,1291,1,2
2,0,50353,0,0,72,141,15,153,67,31,35,1,4,4,6,3,0,0,37,0,0,442,1,2
1,1,61839,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,50,22,0,1895,2,2
2,0,49154,1,1,69,206,10,67,30,27,71,6,4,1,8,6,0,0,54,7,0,411,3,3
0,1,47682,0,1,80,162,61,83,97,57,61,4,4,3,8,5,0,0,39,16,0,521,3,1
1,1,72679,0,1,65,619,54,260,127,54,54,1,4,7,5,1,0,0,45,9,0,1168,3,2
2,0,57954,1,1,52,456,4,24,0,0,9,7,8,2,6,7,0,0,37,0,1,493,3,1
1,0,65316,1,1,65,112,6,92,3,9,38,2,3,2,5,4,0,0,52,14,0,260,3,3
1,1,28567,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,32,12,0,46,3,0
2,0,47352,0,1,70,172,12,112,8,0,15,4,6,1,5,7,0,0,63,14,0,319,2,1
1,0,44931,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,47,5,0,96,2,3
1,1,76982,0,0,19,464,151,292,65,60,30,1,8,3,4,4,0,1,47,4,1,1062,2,5
0,0,57247,0,1,50,99,4,32,37,54,6,2,2,1,7,2,0,0,62,10,0,232,2,3
2,1,22944,1,0,67,19,3,19,4,5,26,3,3,0,3,7,0,0,33,6,0,76,3,0
0,0,25315,1,0,46,1,9,8,11,3,22,3,3,0,3,8,0,0,37,7,0,54,2,0
1,1,43638,0,1,37,63,10,83,7,19,19,2,4,1,4,7,0,0,45,22,0,201,3,3
2,1,42710,1,0,38,252,3,42,4,3,102,2,4,5,3,6,0,0,30,18,0,406,3,0
2,0,84169,0,0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,32,10,2,1919,1,5
1,0,54058,0,1,56,198,18,252,32,108,54,2,4,6,8,3,0,0,38,12,0,662,2,1
0,0,24683,1,0,98,8,4,10,6,7,6,2,2,0,4,5,0,0,24,3,0,41,2,0
1,1,85620,0,0,68,416,46,925,60,107,46,1,3,6,4,1,0,1,50,5,0,1600,2,2
1,0,47850,1,0,72,42,7,43,20,12,10,1,3,0,4,6,0,0,34,6,0,134,2,0
1,0,19514,1,1,47,14,3,21,2,1,28,4,3,1,2,8,0,1,46,5,1,69,3,3
2,0,27159,1,1,33,17,0,3,0,0,1,2,1,0,3,6,0,0,41,3,0,21,3,3
0,1,39548,1,1,87,15,4,10,3,4,18,2,1,1,3,3,0,0,51,2,0,54,4,3
1,1,21474,1,0,0,6,16,24,11,0,34,2,3,1,2,7,0,1,25,2,1,91,3,0
2,1,60504,0,1,73,458,0,24,6,4,34,2,6,2,8,6,0,0,43,4,0,526,3,1
